hijacker ASN,AVG,success, partial, failure,linkLevel
38191,13.96761133603239,4,130,360,1
327983,22.975708502024293,4,219,271,1
37680,25.101214574898787,13,222,259,1
15667,11.437246963562753,2,109,383,1
8499,2.834008097165992,2,24,468,1
139061,1.0121457489878543,2,6,486,1
16182,0.4048582995951417,2,0,492,1
202037,2.0242914979757085,2,16,476,1
19259,0.5060728744939271,2,1,491,1
59195,10.62753036437247,3,99,392,1
132413,2.5303643724696356,4,17,473,1
132414,10.82995951417004,4,99,391,1
328512,20.748987854251013,2,201,291,1
11584,6.781376518218623,2,63,429,1
140610,2.2267206477732793,2,18,474,1
45888,0.6072874493927125,2,2,490,1
12619,3.1376518218623484,2,27,465,1
43342,0.8097165991902834,3,2,489,1
12625,24.59514170040486,20,203,271,1
20819,6.0728744939271255,2,56,436,1
396121,0.9109311740890689,2,5,487,1
37721,41.19433198380567,57,293,144,1
140637,18.724696356275302,2,181,311,1
2914,42.611336032388664,82,257,155,1
199524,45.040485829959515,89,267,138,1
206693,8.502024291497976,2,80,412,1
63333,0.9109311740890689,2,5,487,1
39274,0.4048582995951417,2,0,492,1
204651,2.2267206477732793,2,18,474,1
23921,18.724696356275302,2,181,311,1
37239,22.874493927125506,4,218,272,1
42874,6.882591093117409,2,64,428,1
211329,3.1376518218623484,2,27,465,1
29063,19.02834008097166,9,170,315,1
56201,17.105263157894736,3,163,328,1
36236,48.987854251012145,123,238,133,1
32653,22.975708502024293,4,219,271,1
917,28.643724696356276,14,255,225,1
14235,6.781376518218623,2,63,429,1
395677,0.8097165991902834,2,4,488,1
29088,0.9109311740890689,2,5,487,1
16289,0.4048582995951417,2,0,492,1
43937,5.668016194331984,2,52,440,1
3491,41.19433198380567,70,267,157,1
200612,38.1578947368421,47,283,164,1
24482,50.40485829959514,140,218,136,1
25003,13.96761133603239,2,134,358,1
11179,34.51417004048583,21,299,174,1
271787,0.5060728744939271,2,1,491,1
138162,2.0242914979757085,4,12,478,1
12736,3.1376518218623484,2,27,465,1
13767,21.86234817813765,5,206,283,1
394695,14.473684210526315,4,135,355,1
12235,0.5060728744939271,2,1,491,1
26577,9.412955465587045,2,89,403,1
36306,12.854251012145749,3,121,370,1
34774,6.781376518218623,2,63,429,1
57304,35.526315789473685,24,303,167,1
43485,0.4048582995951417,2,0,492,1
24543,1.6194331983805668,3,10,481,1
31713,13.765182186234817,5,126,363,1
12257,12.854251012145749,4,119,371,1
16867,0.5060728744939271,2,1,491,1
198114,0.4048582995951417,2,0,492,1
26083,0.4048582995951417,2,0,492,1
198633,0.4048582995951417,2,0,492,1
16365,5.769230769230769,3,51,440,1
26613,8.603238866396762,4,77,413,1
198949,50.10121457489878,1,493,0,2
5400,32.89473684210526,2,321,171,2
6461,35.121457489878544,2,343,149,2
55002,12.651821862348179,1,123,370,2
55303,31.275303643724698,2,305,187,2
131094,30.97165991902834,1,304,189,2
133144,31.57894736842105,2,308,184,2
8222,31.072874493927124,1,305,188,2
41000,33.29959514170041,13,303,178,2
141366,30.97165991902834,1,304,189,2
137272,31.072874493927124,1,305,188,2
57406,37.550607287449395,44,283,167,2
6220,31.781376518218625,2,310,182,2
139345,31.072874493927124,1,305,188,2
55377,30.97165991902834,1,304,189,2
133204,30.97165991902834,1,304,189,2
6233,38.1578947368421,49,279,166,2
45147,31.37651821862348,1,308,185,2
45166,31.275303643724698,3,303,188,2
34927,38.76518218623482,50,283,161,2
55410,31.983805668016196,4,308,182,2
51318,30.97165991902834,1,304,189,2
45177,31.88259109311741,3,309,182,2
45211,30.97165991902834,1,304,189,2
137386,31.477732793522268,1,309,184,2
135356,31.17408906882591,1,306,187,2
6336,32.08502024291498,1,315,178,2
139464,31.072874493927124,2,303,189,2
39122,37.449392712550605,44,282,168,2
135409,30.97165991902834,1,304,189,2
4352,31.072874493927124,1,305,188,2
260,31.68016194331984,3,307,184,2
28939,31.37651821862348,2,306,186,2
6412,31.68016194331984,3,307,184,2
55569,31.88259109311741,1,313,180,2
133398,31.17408906882591,1,306,187,2
20764,37.34817813765182,44,281,169,2
137507,30.97165991902834,1,304,189,2
45349,31.57894736842105,1,310,183,2
45355,31.072874493927124,2,303,189,2
133448,31.275303643724698,3,303,188,2
26961,30.97165991902834,1,304,189,2
55639,30.97165991902834,1,304,189,2
139609,31.37651821862348,1,308,185,2
16731,30.97165991902834,1,304,189,2
135525,31.17408906882591,1,306,187,2
133479,30.97165991902834,1,304,189,2
39273,31.68016194331984,4,305,185,2
135530,31.275303643724698,1,307,186,2
31084,32.08502024291498,3,311,180,2
139636,31.275303643724698,1,307,186,2
29049,37.65182186234818,41,290,163,2
135561,30.97165991902834,1,304,189,2
141721,31.37651821862348,1,308,185,2
55720,32.79352226720648,11,302,181,2
14762,31.072874493927124,1,305,188,2
141754,31.17408906882591,2,304,188,2
20932,37.75303643724696,42,289,163,2
133583,30.97165991902834,1,304,189,2
29140,37.044534412955464,41,284,169,2
139750,31.477732793522268,2,307,185,2
395753,31.68016194331984,1,311,182,2
63981,31.57894736842105,1,310,183,2
59890,37.14574898785425,41,285,168,2
6648,32.89473684210526,11,303,180,2
18955,30.97165991902834,1,304,189,2
55821,32.79352226720648,5,314,175,2
4628,31.983805668016196,2,312,180,2
55854,31.072874493927124,1,305,188,2
12859,37.14574898785425,40,287,167,2
399937,31.37651821862348,1,308,185,2
4673,31.17408906882591,2,304,188,2
4680,31.57894736842105,2,308,184,2
64078,31.17408906882591,1,306,187,2
133752,31.275303643724698,1,307,186,2
6777,35.32388663967611,32,285,177,2
150137,30.97165991902834,1,304,189,2
55933,31.37651821862348,1,308,185,2
25220,37.34817813765182,41,287,166,2
51847,32.08502024291498,1,315,178,2
133771,31.17408906882591,1,306,187,2
133772,31.072874493927124,1,305,188,2
8849,33.097165991902834,4,319,171,2
4755,33.502024291497975,14,303,177,2
133794,30.97165991902834,1,304,189,2
4779,31.37651821862348,5,300,189,2
4780,32.28744939271255,8,303,183,2
47794,34.412955465587046,22,296,176,2
45753,31.37651821862348,1,308,185,2
137922,31.781376518218625,2,310,182,2
4819,30.97165991902834,1,304,189,2
133847,31.983805668016196,1,314,179,2
17117,33.70445344129555,18,297,179,2
8932,38.1578947368421,47,283,164,2
6894,34.81781376518219,20,304,170,2
27381,31.781376518218625,1,312,181,2
31477,34.61538461538461,24,294,176,2
21245,34.10931174089069,20,297,177,2
47869,34.716599190283404,25,293,176,2
11019,35.020242914979754,22,302,170,2
47886,34.008097165991906,22,292,180,2
150286,31.983805668016196,9,298,187,2
35598,37.449392712550605,45,280,169,2
56095,30.97165991902834,1,304,189,2
19254,31.275303643724698,1,307,186,2
23352,32.18623481781376,1,316,177,2
133948,31.275303643724698,3,303,188,2
33597,30.97165991902834,1,304,189,2
45896,32.28744939271255,4,311,179,2
54092,31.275303643724698,1,307,186,2
54103,31.57894736842105,1,310,183,2
906,32.388663967611336,2,316,176,2
131986,31.37651821862348,1,308,185,2
21396,31.57894736842105,3,306,185,2
48024,31.781376518218625,2,310,182,2
150436,31.88259109311741,1,313,180,2
932,31.477732793522268,1,309,184,2
35753,34.81781376518219,27,290,177,2
