wins
hijacker_asn,hijacked_prefix,HPP,AS_Path,Origin_Type,time,default
6461,129.123.0.0/160,0,0,0,0,0
16509,129.123.0.0/160,0,0,0,0,0
4800,129.123.0.0/164,0,0,0,0,0
6453,129.123.0.0/160,0,0,0,0,0
3356,129.123.0.0/160,0,0,0,0,0
174,129.123.0.0/164,1,0,0,0,0
268746,129.123.0.0/160,5,0,0,0,0
13904,129.123.0.0/160,0,0,0,0,0
5511,129.123.0.0/160,0,0,0,0,0
29075,129.123.0.0/160,0,0,0,0,0
2914,129.123.0.0/160,0,0,0,0,0
43350,129.123.0.0/160,0,0,0,0,0
6762,129.123.0.0/160,0,0,0,0,0
9304,129.123.0.0/164,0,0,0,0,0
4635,129.123.0.0/164,0,0,0,0,0
23673,151.101.128.0/220,0,0,1,0,0
34984,151.101.128.0/220,1,0,0,0,0
25435,151.101.128.0/220,1,0,0,0,0
60503,151.101.128.0/220,1,0,0,0,0
1299,151.101.128.0/220,0,0,1,0,0
265080,151.101.128.0/220,1,0,0,0,0
133841,151.101.128.0/220,1,0,0,0,0
136255,151.101.128.0/220,1,0,0,0,0
7473,151.101.128.0/220,0,0,1,0,0
43352,151.101.128.0/220,1,0,0,0,0
6461,151.101.128.0/220,0,0,1,0,0
16509,151.101.128.0/220,1,0,0,0,0
4800,151.101.128.0/220,1,0,0,0,0
6453,151.101.128.0/220,0,0,0,1,0
3356,151.101.128.0/220,0,0,1,0,0
174,151.101.128.0/220,1,0,0,0,0
268746,151.101.128.0/220,1,0,0,0,0
13904,151.101.128.0/220,1,0,0,0,0
5511,151.101.128.0/220,1,0,0,0,0
2914,151.101.128.0/220,0,0,0,0,0
9304,151.101.128.0/220,0,0,0,0,0
4635,151.101.128.0/220,0,0,0,0,0
~~~~~~~~~~~`
losses
hijacker_asn,hijacked_prefix,HPP,AS_Path,Origin_Type,time,default
23673,184.171.0.0/170,1,0,0,0,0
34984,184.171.0.0/170,1,0,0,0,0
25435,184.171.0.0/170,1,0,0,0,0
60503,184.171.0.0/170,0,0,0,0,0
1299,184.171.0.0/170,1,0,0,0,0
265080,184.171.0.0/170,1,0,0,0,0
133841,184.171.0.0/170,1,0,0,0,0
136255,184.171.0.0/170,1,0,0,0,0
7473,184.171.0.0/170,1,0,0,0,0
43352,184.171.0.0/170,1,0,0,0,0
6461,184.171.0.0/170,1,0,0,0,0
16509,184.171.0.0/170,1,0,0,0,0
4800,184.171.0.0/170,1,0,0,0,0
6453,184.171.0.0/170,1,0,0,0,0
3356,184.171.0.0/170,1,0,0,0,0
174,184.171.0.0/170,1,0,0,0,0
268746,184.171.0.0/170,1,0,0,0,0
13904,184.171.0.0/170,1,0,0,0,0
5511,184.171.0.0/170,1,0,0,0,0
29075,184.171.0.0/170,1,0,0,0,0
2914,184.171.0.0/170,1,0,0,0,0
43350,184.171.0.0/170,1,0,0,0,0
6762,184.171.0.0/170,1,0,0,0,0
9304,184.171.0.0/170,1,0,0,0,0
4635,184.171.0.0/170,1,0,0,0,0
23673,141.193.213.0/240,0,0,0,0,0
34984,141.193.213.0/240,0,0,0,0,0
25435,141.193.213.0/240,0,0,0,0,0
60503,141.193.213.0/240,0,0,0,0,0
1299,141.193.213.0/240,0,0,0,0,0
265080,141.193.213.0/240,0,0,0,0,0
133841,141.193.213.0/240,0,0,0,0,0
136255,141.193.213.0/240,0,0,0,0,0
7473,141.193.213.0/240,0,0,0,0,0
43352,141.193.213.0/240,0,0,0,0,0
6461,141.193.213.0/240,0,0,0,0,0
16509,141.193.213.0/240,0,0,0,0,0
4800,141.193.213.0/240,0,0,0,0,0
6453,141.193.213.0/240,0,0,0,0,0
3356,141.193.213.0/240,0,0,0,0,0
174,141.193.213.0/240,0,0,0,0,0
268746,141.193.213.0/240,0,0,0,0,0
13904,141.193.213.0/240,0,0,0,0,0
5511,141.193.213.0/240,0,0,0,0,0
29075,141.193.213.0/240,0,0,0,0,0
2914,141.193.213.0/240,0,0,0,0,0
43350,141.193.213.0/240,0,0,0,0,0
6762,141.193.213.0/240,0,0,0,0,0
9304,141.193.213.0/240,0,0,0,0,0
4635,141.193.213.0/240,0,0,0,0,0
23673,52.24.0.0/140,0,0,0,0,0
34984,52.24.0.0/140,0,0,0,0,0
